,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
10,10,Hypothetical Gulf of Maine Draft WEA 3,140256,161611.13332182227,178419.096595221,2039-01-01 00:00:00,2041-06-08 20:00:00,2043-05-10 04:00:00,semisub,800,ME,salem,1424,False,2040-01-01 00:00:00
11,11,Hypothetical Gulf of Maine Draft WEA 4,140256,155177.029045465,171478.79547347024,2039-01-01 00:00:00,2040-09-13 18:00:00,2042-07-24 23:00:00,semisub,800,NH,searsport_1,1424,False,2040-01-01 00:00:00
12,12,Hypothetical Central Atlantic Draft WEA 6,140256,152035.14701864624,168474.4182880391,2039-01-01 00:00:00,2040-05-05 20:00:00,2042-03-21 19:00:00,semisub,800,MD,tradepoint_1,1428,False,2040-01-01 00:00:00
13,13,Hypothetical NY Bight Floating 2,140256,147963.66159365154,168443.74777684576,2039-01-01 00:00:00,2039-11-18 04:00:00,2042-03-20 12:00:00,semisub,800,NJ,njwp_1,1800,False,2040-01-01 00:00:00
14,14,Hypothetical NY Bight Floating 1,140256,143440.82472921637,163813.15060403507,2039-01-01 00:00:00,2039-05-13 17:00:00,2041-09-08 14:00:00,semisub,800,NY,sbmt,1800,False,2040-01-01 00:00:00
15,15,Hypothetical NE Floating 1,122736,140917.56666091114,161611.13332182227,2037-01-01 00:00:00,2039-01-28 14:00:00,2041-06-08 20:00:00,semisub,800,CT,salem,1800,False,2038-01-01 00:00:00
16,16,Hypothetical Gulf of Maine Draft WEA 1,122736,138862.76261745975,155177.029045465,2037-01-01 00:00:00,2038-11-03 23:00:00,2040-09-13 18:00:00,semisub,800,ME,searsport_1,1424,False,2038-01-01 00:00:00
17,17,Hypothetical Central Atlantic Draft WEA 4,131496,143440.82472921637,153991.14153995705,2038-01-01 00:00:00,2039-05-13 17:00:00,2040-07-26 08:00:00,monopile,40,MD,tradepoint_2,1273,False,2039-01-01 00:00:00
18,18,Hypothetical Gulf of Maine Draft WEA 2,131496,135311.880590641,152035.14701864624,2038-01-01 00:00:00,2038-06-09 00:00:00,2040-05-05 20:00:00,semisub,800,ME,searsport_2,1424,False,2039-01-01 00:00:00
19,19,Hypothetical Central Atlantic Draft WEA 2,131496,136933.9472419084,149841.50953042644,2038-01-01 00:00:00,2038-08-15 14:00:00,2040-02-04 10:00:00,monopile,40,DE,tradepoint_1,1273,False,2039-01-01 00:00:00
20,20,Hypothetical Central Atlantic Draft WEA 3,131496,131496.0,147963.66159365154,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-11-18 04:00:00,semisub,800,NC,portsmouth_2,1428,False,2039-01-01 00:00:00
21,21,Hypothetical NY Bight Fixed 2,122736,134720.38610922615,145156.98912810805,2037-01-01 00:00:00,2038-05-15 09:00:00,2039-07-24 05:00:00,monopile,40,NJ,njwp_1,1500,False,2038-01-01 00:00:00
22,22,Hypothetical NE Fixed 1,113952,126505.05345982351,144881.64120728197,2036-01-01 00:00:00,2037-06-07 02:00:00,2039-07-12 18:00:00,jacket,40,MA,new_bedford,1500,False,2037-01-01 00:00:00
23,23,Hypothetical Central Atlantic Draft WEA 5,122736,126505.05345982351,143440.82472921637,2037-01-01 00:00:00,2037-06-07 02:00:00,2039-05-13 17:00:00,semisub,800,MD,tradepoint_2,1428,False,2038-01-01 00:00:00
24,24,Hypothetical Central Atlantic Draft WEA 8,131496,131496.0,142730.10690496417,2038-01-01 00:00:00,2038-01-01 00:00:00,2039-04-14 03:00:00,monopile,40,NC,portsmouth_1,1273,False,2039-01-01 00:00:00
