name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port
Hypothetical Gulf of Maine Draft WEA 12,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2038 0:00,2039,new_bedford
Empire Wind 2,NY,-73.22227313,40.24801683,50,1260,15MW_generic,40,monopile,1/1/2038 0:00,2039,sbmt
Ocean Wind 2,NJ,-74.28958819,39.01878197,50,1148,15MW_generic,40,monopile,1/1/2038 0:00,2039,njwp
Hypothetical Central Atlantic Draft WEA 7,VA,-73.650827,37.555451,50,1565.58,15MW_generic,800,semisub,1/1/2039 0:00,2040,portsmouth
Garden State Offshore Energy I,NJ,-74.75173526,38.66111942,50,1080,15MW_generic,40,monopile,1/1/2039 0:00,2040,njwp
Hypothetical Gulf of Maine Draft WEA 8,NH,-68.521338,42.976654,50,1424.12,15MW_generic,800,semisub,1/1/2039 0:00,2040,searsport
Atlantic Shores Offshore Wind Bight,NY,-73.58045588,39.30154735,50,1284,15MW_generic,40,monopile,1/1/2039 0:00,2040,njwp
Hypothetical Central Atlantic WEA  2,VA,-75.024437,36.925349,50,926.65,15MW_generic,40,monopile,1/1/2040 0:00,2041,portsmouth
Hypothetical Gulf of Maine Draft WEA 13,ME,-68.521338,42.976654,50,1424.12,15MW_generic,800,semisub,1/1/2040 0:00,2041,searsport
Hypothetical Central Atlantic WEA 5,MD,-74.70664,38.035256,50,712.8,15MW_generic,40,monopile,1/1/2040 0:00,2041,tradepoint
Hypothetical Gulf of Maine Draft WEA 5,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2040 0:00,2041,searsport
Hypothetical NE Fixed 2,RI,-70.092382,40.67661,50,1500,15MW_generic,40,gbf,1/1/2041 0:00,2042,new_london
Hypothetical Gulf of Maine Draft WEA 6,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2041 0:00,2042,searsport
Hypothetical Central Atlantic WEA 6,MD,-74.70664,38.035256,50,712.8,15MW_generic,40,monopile,1/1/2041 0:00,2042,tradepoint
Hypothetical NY Bight Fixed 1,NY,-70.092382,40.67661,50,1500,15MW_generic,40,monopile,1/1/2041 0:00,2042,sbmt
