name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port,us_wtiv
South Fork ,NY,-71.07590392,41.11050519,50,132,11MW_generic,40,monopile,1/1/2023 0:00,2024,new_london,FALSE
Vineyard Wind 1 1,MA,-70.3809493,41.02365044,50,400,13MW_generic,40,monopile,1/1/2023 0:00,2024,new_bedford,FALSE
Vineyard Wind 1 2,MA,-70.3809493,41.02365044,50,400,13MW_generic,40,monopile,1/1/2024 0:00,2025,new_bedford,FALSE
Revolution Wind 1 1,RI/CT,-71.07607428,41.1159065,50,350,12MW_generic,40,monopile,1/1/2023 0:00,2025,new_london,FALSE
Revolution Wind 1 2,RI/CT,-71.07607428,41.1159065,50,354,12MW_generic,40,monopile,1/1/2024 0:00,2025,new_london,FALSE
Atlantic Shores Offshore Wind South 1 1,NJ,-73.99422436,39.31937248,50,503,15MW_generic,40,monopile,1/1/2025 0:00,2027,njwp,FALSE
Atlantic Shores Offshore Wind South 1 2,NJ,-73.99422436,39.31937248,50,1006,15MW_generic,40,monopile,1/1/2026 0:00,2027,njwp,FALSE
CVOW-C 1,VA,-75.45761394,36.84342509,50,1034,15MW_generic,40,monopile,1/1/2024 0:00,2027,portsmouth,TRUE
CVOW-C 2,VA,-75.45761394,36.84342509,50,1034,15MW_generic,40,monopile,1/1/2025 0:00,2027,portsmouth,TRUE
CVOW-C 3,VA,-75.45761394,36.84342509,50,519,15MW_generic,40,monopile,1/1/2026 0:00,2027,portsmouth,TRUE
MarWin,MD,-74.75306642,38.27179677,50,248,15MW_generic,40,monopile,1/1/2026 0:00,2027,tradepoint,FALSE
Empire Wind 1 1,NY,-73.22227313,40.24801683,50,408,15MW_generic,40,monopile,1/1/2026 0:00,2028,sbmt,FALSE
Empire Wind 1 2,NY,-73.22227313,40.24801683,50,408,15MW_generic,40,monopile,1/1/2027 0:00,2028,sbmt,FALSE
Momentum Wind 1,MD,-74.75306642,38.27179677,50,404,15MW_generic,40,monopile,1/1/2026 0:00,2028,tradepoint,FALSE
Momentum Wind 2,MD,-74.75306642,38.27179677,50,405,15MW_generic,40,monopile,1/1/2027 0:00,2028,tradepoint,FALSE
Sunrise Wind 1,NY,-70.82962083,40.99037717,50,462,11MW_generic,40,monopile,1/1/2027 0:00,2029,new_london,TRUE
Sunrise Wind 2,NY,-70.82962083,40.99037717,50,462,11MW_generic,40,monopile,1/1/2028 0:00,2029,new_london,TRUE
Maine Research Array,ME,-69.359846,43.393802,50,144,12MW_generic,800,semisub,1/1/2028 0:00,2029,searsport,FALSE
Kitty Hawk North 1,VA,-75.02671099,36.23848619,50,517,15MW_generic,40,monopile,1/1/2028 0:00,2030,portsmouth,FALSE
Kitty Hawk North 2,VA,-75.02671099,36.23848619,50,518,15MW_generic,40,monopile,1/1/2029 0:00,2030,portsmouth,FALSE
MarWin Residual,MD,-74.75306642,38.27179677,50,600,15MW_generic,40,monopile,1/1/2029 0:00,2030,tradepoint,FALSE
SouthCoast 1 Phase 1 (Mayflower Wind 1) 1,MA,-70.50430003,40.64106695,50,402,15MW_generic,40,jacket,1/1/2028 0:00,2030,new_bedford,FALSE
SouthCoast 1 Phase 1 (Mayflower Wind 1) 2,MA,-70.50430003,40.64106695,50,402,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,FALSE
SouthCoast 1 Phase 2 (Mayflower Wind 2) ,MA,-70.50430003,40.64106695,50,400,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,FALSE
SouthCoast Residual 1,MA,-70.50430003,40.64106695,50,400,15MW_generic,40,jacket,1/1/2028 0:00,2030,new_bedford,FALSE
SouthCoast Residual 2,MA,-70.50430003,40.64106695,50,400,15MW_generic,40,jacket,1/1/2029 0:00,2030,new_bedford,FALSE
Attentive Energy One 1,NY,-73.07013631,39.64017504,50,468,15MW_generic,40,monopile,1/1/2028 0:00,2031,sbmt,TRUE
Attentive Energy One 2,NY,-73.07013631,39.64017504,50,468,15MW_generic,40,monopile,1/1/2029 0:00,2031,sbmt,TRUE
Attentive Energy One 3,NY,-73.07013631,39.64017504,50,468,15MW_generic,40,monopile,1/1/2030 0:00,2031,sbmt,TRUE
Attentive Energy Two 1,NJ,-73.07013631,39.64017504,50,671,15MW_generic,40,monopile,1/1/2029 0:00,2031,njwp,FALSE
Attentive Energy Two 2,NJ,-73.07013631,39.64017504,50,671,15MW_generic,40,monopile,1/1/2030 0:00,2031,njwp,FALSE
Community Offshore Wind 1 1,NY,-73.35380267,39.47155514,50,438,15MW_generic,40,monopile,1/1/2028 0:00,2031,arthur_kill,FALSE
Community Offshore Wind 1 2,NY,-73.35380267,39.47155514,50,438,15MW_generic,40,monopile,1/1/2029 0:00,2031,arthur_kill,FALSE
Community Offshore Wind 1 3,NY,-73.35380267,39.47155514,50,438,15MW_generic,40,monopile,1/1/2030 0:00,2031,arthur_kill,FALSE
"New England Wind 1 (Park City Wind, Vineyard Wind South) 1",CT,-70.37381455,41.0237355,50,400,15MW_generic,40,gbf,1/1/2029 0:00,2031,salem,FALSE
