,base_0225,base_0225_inf,base_md_njwp_0328.yaml,base_md_njwp_0328_inf.yaml
2025-2030,1.4913242009132421,0.0,1.4246575342465755,0.0
2030-2035,7.004261796042618,0.0,8.461491628614915,0.0
2035-2040,18.026027397260272,0.0,18.753424657534246,0.0
