,base_0225,base_0225_inf,base_md_njwp_0401.yaml,base_md_njwp_0401_inf.yaml
2025-2030,1.0691253951527924,0.0,1.034141201264489,0.0
2030-2035,5.292636986301369,0.0,3.62568493150685,0.0
2035-2040,15.18751902587519,0.0,9.614916286149162,0.0
