,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
26,26,Hypothetical Gulf of Maine Draft WEA 6,122736,139655.80933038666,155876.69063911654,2037-01-01 00:00:00,2038-12-07 00:00:00,2040-10-12 21:00:00,semisub,800,MA,searsport_2,1424,False,2038-01-01 00:00:00
27,27,Hypothetical Central Atlantic WEA 4,96432,142360.4518963142,153777.49916898902,2034-01-01 00:00:00,2039-03-29 17:00:00,2040-07-17 10:00:00,monopile,40,NC,portsmouth_1,1607,False,2035-01-01 00:00:00
28,28,Ocean Wind 1,96432,142694.5537816332,150785.59193141214,2034-01-01 00:00:00,2039-04-12 15:00:00,2040-03-14 18:00:00,monopile,40,NJ,njwp_2,1100,False,2035-01-01 00:00:00
29,29,Hypothetical NE Floating 2,122736,129727.8445821286,147119.41124303974,2037-01-01 00:00:00,2037-10-19 08:00:00,2039-10-14 00:00:00,semisub,800,CT,salem,1500,False,2038-01-01 00:00:00
30,30,Hypothetical NE Fixed 2,113952,126505.05345982351,143681.98394483398,2036-01-01 00:00:00,2037-06-07 02:00:00,2039-05-23 18:00:00,gbf,40,RI,new_london_1,1500,False,2037-01-01 00:00:00
31,31,Kitty Hawk South,87672,120925.58130927352,142694.5537816332,2033-01-01 00:00:00,2036-10-17 14:00:00,2039-04-12 15:00:00,monopile,40,NC,portsmouth_2,2465,False,2034-01-01 00:00:00
32,32,Hypothetical Central Atlantic WEA 1,96432,134902.687400144,142360.4518963142,2034-01-01 00:00:00,2038-05-22 23:00:00,2039-03-29 17:00:00,monopile,40,MD,tradepoint_1,927,False,2035-01-01 00:00:00
33,33,Hypothetical Gulf of Maine Draft WEA 5,113952,122656.92802165677,139655.80933038666,2036-01-01 00:00:00,2036-12-28 17:00:00,2038-12-07 00:00:00,semisub,800,MA,searsport_1,1424,False,2037-01-01 00:00:00
34,34,Bluepoint Wind,96432,125849.82696278873,134902.687400144,2034-01-01 00:00:00,2037-05-10 18:00:00,2038-05-22 23:00:00,monopile,40,NY,njwp_1,1158,False,2035-01-01 00:00:00
35,35,Hypothetical Gulf of Maine Draft WEA 13,105192,112806.88130872988,129727.8445821286,2035-01-01 00:00:00,2035-11-14 07:00:00,2037-10-19 08:00:00,semisub,800,ME,salem,1424,False,2036-01-01 00:00:00
