name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port,us_wtiv
TotalEnergies,NC,-78.00283544,33.43107384,50,889,15MW_generic,40,monopile,1/1/2037 0:00,2038,portsmouth_2,FALSE
Hypothetical Gulf of Maine Draft WEA 12,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2038 0:00,2039,new_bedford,FALSE
Empire Wind 2,NY,-73.22227313,40.24801683,50,1260,15MW_generic,40,monopile,1/1/2038 0:00,2039,sbmt,FALSE
Ocean Wind 2,NJ,-74.28958819,39.01878197,50,1148,15MW_generic,40,monopile,1/1/2038 0:00,2039,njwp_2,FALSE
Hypothetical Central Atlantic Draft WEA 7,VA,-73.650827,37.555451,50,1565.58,15MW_generic,800,semisub,1/1/2039 0:00,2040,portsmouth_1,FALSE
Garden State Offshore Energy I,NJ,-74.75173526,38.66111942,50,1080,15MW_generic,40,monopile,1/1/2039 0:00,2040,njwp_1,FALSE
Hypothetical Gulf of Maine Draft WEA 8,NH,-68.521338,42.976654,50,1424.12,15MW_generic,800,semisub,1/1/2039 0:00,2040,searsport_1,FALSE
Atlantic Shores Offshore Wind Bight,NY,-73.58045588,39.30154735,50,1284,15MW_generic,40,monopile,1/1/2039 0:00,2040,njwp_2,FALSE
Hypothetical Central Atlantic WEA  2,VA,-75.024437,36.925349,50,926.65,15MW_generic,40,monopile,1/1/2040 0:00,2041,portsmouth_2,FALSE
Hypothetical Gulf of Maine Draft WEA 13,ME,-68.521338,42.976654,50,1424.12,15MW_generic,800,semisub,1/1/2040 0:00,2041,searsport_2,FALSE
Hypothetical Central Atlantic WEA 5,MD,-74.70664,38.035256,50,712.8,15MW_generic,40,monopile,1/1/2040 0:00,2041,tradepoint_2,FALSE
Hypothetical Gulf of Maine Draft WEA 5,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2040 0:00,2041,searsport_1,FALSE
Hypothetical NE Fixed 2,RI,-70.092382,40.67661,50,1500,15MW_generic,40,gbf,1/1/2041 0:00,2042,new_london_1,FALSE
Hypothetical Gulf of Maine Draft WEA 6,MA,-69.21235,42.246805,50,1424.12,15MW_generic,800,semisub,1/1/2041 0:00,2042,searsport_2,FALSE
Hypothetical Central Atlantic WEA 6,MD,-74.70664,38.035256,50,712.8,15MW_generic,40,monopile,1/1/2041 0:00,2042,tradepoint_1,FALSE
Hypothetical NY Bight Fixed 1,NY,-70.092382,40.67661,50,1500,15MW_generic,40,monopile,1/1/2041 0:00,2042,sbmt,FALSE
