,index,name,Initialized,Started,Finished,FoundationFinished,TurbineStart,Date Initialized,Date Started,Date TurbineStart,Date FoundationFinished,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
0,0,NY/NJ Project 19,122736,123648.69247544468,128695.02759124317,128695.02759124317,124657.95949860438,2037-01-01 00:00:00,2037-02-08 01:00:00,2037-03-22 02:00:00,2037-09-06 08:00:00,2037-09-06 08:00:00,monopile,40,NY,njwp,1000,False,2038-01-01 00:00:00
1,1,NY/NJ Project 18,105192,118954.20565029766,123648.69247544468,122660.08743197813,119695.38200663375,2035-01-01 00:00:00,2036-07-27 11:00:00,2036-08-27 08:00:00,2036-12-28 21:00:00,2037-02-08 01:00:00,monopile,40,NJ,njwp,1000,False,2036-01-01 00:00:00
2,2,NE Project 11,96432,96432.0,119921.96853561091,119903.93645971679,101129.99370712218,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-07-15 18:00:00,2036-09-05 00:00:00,2036-09-05 18:00:00,jacket,40,MA,new_bedford,2500,False,2035-01-01 00:00:00
3,3,NY/NJ Project 17,105192,112611.1396979663,118954.20565029766,118954.20565029766,113879.75288843257,2035-01-01 00:00:00,2035-11-06 04:00:00,2035-12-29 00:00:00,2036-07-27 11:00:00,2036-07-27 11:00:00,monopile,40,NJ,njwp,1000,True,2036-01-01 00:00:00
4,4,Mid-Atlantic Project 10,96432,109338.79107089406,117926.58530885157,117926.58530885157,111056.34991848556,2034-01-01 00:00:00,2035-06-22 19:00:00,2035-09-02 09:00:00,2036-06-14 15:00:00,2036-06-14 15:00:00,monopile,40,NC,portsmouth,1000,False,2035-01-01 00:00:00
5,5,NY/NJ Project 16,105192,107875.96698594939,112611.1396979663,111044.39477081793,108509.6525429231,2035-01-01 00:00:00,2035-04-22 20:00:00,2035-05-19 06:00:00,2035-09-01 21:00:00,2035-11-06 04:00:00,monopile,40,NY,sbmt,1000,True,2036-01-01 00:00:00
6,6,NY/NJ Project 15,96432,102920.76870179182,109338.79107089406,109338.79107089406,104204.37317561227,2034-01-01 00:00:00,2034-09-28 09:00:00,2034-11-20 21:00:00,2035-06-22 19:00:00,2035-06-22 19:00:00,monopile,40,NJ,njwp,1000,False,2035-01-01 00:00:00
7,7,Mid-Atlantic Project 9,87672,92765.55374754134,107875.96698594939,103928.61206818065,94998.16541166921,2033-01-01 00:00:00,2033-08-01 06:00:00,2033-11-02 07:00:00,2034-11-09 09:00:00,2035-04-22 20:00:00,monopile,40,NC,portsmouth,2500,True,2034-01-01 00:00:00
8,8,NY/NJ Project 14,96432,96432.0,102920.76870179182,102920.76870179182,97729.75374035837,2034-01-01 00:00:00,2034-01-01 00:00:00,2034-02-24 02:00:00,2034-09-28 09:00:00,2034-09-28 09:00:00,monopile,40,NY,njwp,1000,False,2035-01-01 00:00:00
9,9,NY/NJ Project 12,70128,84313.54119629612,95941.04217257621,95941.04217257621,86639.04139155213,2031-01-01 00:00:00,2032-08-14 02:00:00,2032-11-19 00:00:00,2033-12-11 14:00:00,2033-12-11 14:00:00,monopile,40,NJ,njwp,2500,False,2032-01-01 00:00:00
10,10,Mid-Atlantic Project 8,70128,92583.27237263067,95907.63753981593,95580.2656400318,93182.6710261109,2031-01-01 00:00:00,2033-07-24 16:00:00,2033-08-18 15:00:00,2033-11-26 13:00:00,2033-12-10 04:00:00,monopile,40,MD,tradepoint,800,False,2032-01-01 00:00:00
11,11,NE Project 10,78888,82030.36731865403,93618.1990603649,93618.1990603649,82030.36731865403,2032-01-01 00:00:00,2032-05-10 23:00:00,2032-05-10 23:00:00,2033-09-05 19:00:00,2033-09-05 19:00:00,semisub,800,MA,salem,1000,False,2033-01-01 00:00:00
12,12,NY/NJ Project 13,78888,84248.86570857395,92765.55374754134,91836.4032871496,85766.37322428908,2032-01-01 00:00:00,2032-08-11 09:00:00,2032-10-13 15:00:00,2033-06-23 13:00:00,2033-08-01 06:00:00,monopile,40,NY,sbmt,1500,True,2033-01-01 00:00:00
13,13,Mid-Atlantic Project 7,70128,92149.06179569892,92583.27237263067,92583.27237263067,92235.90391108526,2031-01-01 00:00:00,2033-07-06 14:00:00,2033-07-10 04:00:00,2033-07-24 16:00:00,2033-07-24 16:00:00,monopile,40,MD,tradepoint,100,False,2032-01-01 00:00:00
14,14,Mid-Atlantic Project 6,70128,84303.946832251,92149.06179569892,92149.06179569892,85872.96982494058,2031-01-01 00:00:00,2032-08-13 16:00:00,2032-10-18 01:00:00,2033-07-06 14:00:00,2033-07-06 14:00:00,monopile,40,NC,portsmouth,1000,False,2032-01-01 00:00:00
