,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Blades,186,177,0,0,0,450,405,249,486,402,0,714,570,585,585,585,645,300,855
Nacelles,62,59,0,0,0,150,135,83,162,134,0,238,190,195,195,195,215,100,285
Towers,62,59,0,0,0,150,135,83,162,134,0,238,190,195,195,195,215,100,285
Monopile Foundations,62,59,0,0,0,138,0,0,41,0,0,0,0,0,0,0,0,0,0
Jacket Foundations,0,0,0,0,0,0,108,0,82,59,0,143,0,0,0,100,0,0,0
Gravity-based Foundations,0,0,0,0,0,0,27,83,80,75,0,0,0,100,0,0,0,0,0
Semisubmersible Platform,0,0,0,0,0,12,0,0,0,0,0,95,190,95,195,95,215,100,285
HVAC Cables (km),0,130,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0
HVDC Cables (km),220,0,0,0,0,280,390,130,300,200,0,450,300,400,400,400,400,250,450
