,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
1623,,WTIV,Lift Tower Section,0.66,8250.0,ACTION,5434.593964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1624,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,5435.630736380977,MonopileInstallation,MonopileInstallation,,40.0,
1625,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,5435.930709096704,TurbineInstallation,TurbineInstallation,,,
1626,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5436.593964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1627,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5437.593964228484,TurbineInstallation,,,,
1628,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,5437.930709096704,TurbineInstallation,TurbineInstallation,,,
1629,,WTIV,Lift Tower Section,1.32,16500.0,ACTION,5438.913964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1630,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,5439.790155096865,MonopileInstallation,MonopileInstallation,,,
1631,,Feeder 1,Fasten Nacelle,2.0,6250.0,ACTION,5439.930709096704,TurbineInstallation,TurbineInstallation,,,
1632,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,5440.630736380977,MonopileInstallation,,,,
1633,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5440.680709096704,TurbineInstallation,TurbineInstallation,,,
1634,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5440.913964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1635,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5441.430709096704,TurbineInstallation,TurbineInstallation,,,
1636,,WTIV,Release Nacelle,1.0,12500.0,ACTION,5441.913964228484,TurbineInstallation,,,,
1637,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5442.180709096704,TurbineInstallation,TurbineInstallation,,,
1638,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,5442.297403047644,MonopileInstallation,MonopileInstallation,,40.0,
1639,,WTIV,Reequip,1.0,12500.0,ACTION,5442.913964228484,TurbineInstallation,,,,
1640,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,5443.297403047644,MonopileInstallation,MonopileInstallation,,40.0,
1641,,WTIV,Lift Nacelle,1.32,16500.0,ACTION,5444.233964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1642,,WTIV,Attach Nacelle,2.0,25000.0,ACTION,5446.233964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1643,,WTIV,Reequip,1.0,12500.0,ACTION,5447.233964228484,TurbineInstallation,,,,
1644,,WTIV,Release Blade,0.5,6250.0,ACTION,5447.733964228484,TurbineInstallation,,,,
