,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
133,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,738.2257745559889,MonopileInstallation,MonopileInstallation,,40.0,
134,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,739.2257745559889,MonopileInstallation,MonopileInstallation,,40.0,
135,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,742.1533131488216,MonopileInstallation,MonopileInstallation,,,
136,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,749.2257745559889,MonopileInstallation,,,,
137,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,750.1077318647109,MonopileInstallation,MonopileInstallation,,40.0,
138,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,750.1127318647109,MonopileInstallation,MonopileInstallation,,40.0,
139,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,750.1533131488216,MonopileInstallation,MonopileInstallation,,,
140,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,751.1127318647109,MonopileInstallation,MonopileInstallation,,40.0,
141,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,752.3127318647109,MonopileInstallation,MonopileInstallation,,40.0,
142,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,762.1533131488216,MonopileInstallation,MonopileInstallation,,,
143,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,762.3127318647109,MonopileInstallation,,,,
144,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,763.3127318647109,MonopileInstallation,MonopileInstallation,,40.0,
145,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,764.3127318647109,MonopileInstallation,MonopileInstallation,,40.0,
146,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,768.3127318647109,MonopileInstallation,MonopileInstallation,,40.0,
147,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,769.9793985313776,MonopileInstallation,MonopileInstallation,,40.0,
148,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,770.1533131488216,MonopileInstallation,MonopileInstallation,,,
149,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,774.9793985313776,MonopileInstallation,,,,
150,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,776.6460651980442,MonopileInstallation,MonopileInstallation,,40.0,
151,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,777.6460651980442,MonopileInstallation,MonopileInstallation,,40.0,
152,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,782.1533131488216,MonopileInstallation,MonopileInstallation,,,
153,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,787.6460651980442,MonopileInstallation,,,,
154,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,788.5280225067662,MonopileInstallation,MonopileInstallation,,40.0,
155,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,788.5330225067662,MonopileInstallation,MonopileInstallation,,40.0,
156,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,789.5330225067662,MonopileInstallation,MonopileInstallation,,40.0,
157,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,790.1533131488216,MonopileInstallation,MonopileInstallation,,,
158,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,790.7330225067662,MonopileInstallation,MonopileInstallation,,40.0,
159,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,800.7330225067662,MonopileInstallation,,,,
160,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,801.7330225067662,MonopileInstallation,MonopileInstallation,,40.0,
161,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,802.7330225067662,MonopileInstallation,MonopileInstallation,,40.0,
162,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,806.7330225067662,MonopileInstallation,MonopileInstallation,,40.0,
163,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,808.3996891734329,MonopileInstallation,MonopileInstallation,,40.0,
164,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,813.3996891734329,MonopileInstallation,,,,
165,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,815.0663558400995,MonopileInstallation,MonopileInstallation,,40.0,
166,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,816.0663558400995,MonopileInstallation,MonopileInstallation,,40.0,
167,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,826.0663558400995,MonopileInstallation,,,,
168,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,826.9483131488215,MonopileInstallation,MonopileInstallation,,40.0,
169,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,826.9533131488215,MonopileInstallation,MonopileInstallation,,40.0,
170,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,827.9533131488215,MonopileInstallation,MonopileInstallation,,40.0,
171,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,829.1533131488216,MonopileInstallation,MonopileInstallation,,40.0,
172,,Feeder 1,Transit,39.321634209940946,122880.10690606546,ACTION,829.4749473587625,MonopileInstallation,,,,
173,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,831.1416140254291,MonopileInstallation,MonopileInstallation,,,
174,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,839.1533131488216,MonopileInstallation,,,,
175,,Feeder 0,ActiveFeeder,107.59420525949929,336231.8914359353,ACTION,839.1533131488216,MonopileInstallation,,Site,,
176,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,840.1533131488216,MonopileInstallation,MonopileInstallation,,40.0,
177,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,840.8199798154882,MonopileInstallation,MonopileInstallation,,,
178,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,841.1533131488216,MonopileInstallation,MonopileInstallation,,40.0,
179,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,845.1533131488216,MonopileInstallation,MonopileInstallation,,40.0,
180,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,846.8199798154882,MonopileInstallation,MonopileInstallation,,40.0,
181,,Feeder 0,Transit,39.321634209940946,122880.10690606546,ACTION,880.1416140254291,MonopileInstallation,,,,
182,,Feeder 1,Queue,49.0,153125.0,ACTION,880.1416140254291,MonopileInstallation,,Site,,
183,,WTIV,Delay: Not enough vessels for monopiles,33.32163420994095,694200.7127071031,ACTION,880.1416140254291,MonopileInstallation,,Site,,
184,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,885.1416140254291,MonopileInstallation,,,,
185,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,886.8082806920958,MonopileInstallation,MonopileInstallation,,40.0,
186,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,887.8082806920958,MonopileInstallation,MonopileInstallation,,40.0,
187,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,892.1416140254291,MonopileInstallation,MonopileInstallation,,,
188,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,897.8082806920958,MonopileInstallation,,,,
189,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,898.6902380008178,MonopileInstallation,MonopileInstallation,,40.0,
190,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,898.6952380008178,MonopileInstallation,MonopileInstallation,,40.0,
191,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,899.6952380008178,MonopileInstallation,MonopileInstallation,,40.0,
192,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,900.1416140254291,MonopileInstallation,MonopileInstallation,,,
193,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,900.8952380008178,MonopileInstallation,MonopileInstallation,,40.0,
194,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,910.8952380008178,MonopileInstallation,,,,
195,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,911.8952380008178,MonopileInstallation,MonopileInstallation,,40.0,
196,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,912.1416140254291,MonopileInstallation,MonopileInstallation,,,
197,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,912.8952380008178,MonopileInstallation,MonopileInstallation,,40.0,
198,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,916.8952380008178,MonopileInstallation,MonopileInstallation,,40.0,
199,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,918.5619046674844,MonopileInstallation,MonopileInstallation,,40.0,
200,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,920.1416140254291,MonopileInstallation,MonopileInstallation,,,
201,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,923.5619046674844,MonopileInstallation,,,,
202,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,925.2285713341511,MonopileInstallation,MonopileInstallation,,40.0,
203,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,926.2285713341511,MonopileInstallation,MonopileInstallation,,40.0,
204,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,932.1416140254291,MonopileInstallation,MonopileInstallation,,,
205,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,936.2285713341511,MonopileInstallation,,,,
206,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,937.1105286428731,MonopileInstallation,MonopileInstallation,,40.0,
207,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,937.1155286428731,MonopileInstallation,MonopileInstallation,,40.0,
208,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,938.1155286428731,MonopileInstallation,MonopileInstallation,,40.0,
209,,Feeder 0,Fasten Transition Piece,6.0,18750.0,ACTION,938.1416140254291,MonopileInstallation,MonopileInstallation,,,
210,,WTIV,Delay,12.0,250000.0,ACTION,950.1155286428731,MonopileInstallation,MonopileInstallation,,40.0,
211,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,951.3155286428731,MonopileInstallation,MonopileInstallation,,40.0,
212,,Feeder 0,Delay,22.0,68750.0,ACTION,960.1416140254291,MonopileInstallation,MonopileInstallation,,,
213,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,961.3155286428731,MonopileInstallation,,,,
214,,Feeder 0,Fasten Transition Piece,2.0,6250.0,ACTION,962.1416140254291,MonopileInstallation,MonopileInstallation,,,
215,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,962.3155286428731,MonopileInstallation,MonopileInstallation,,40.0,
216,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,963.3155286428731,MonopileInstallation,MonopileInstallation,,40.0,
217,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,967.3155286428731,MonopileInstallation,MonopileInstallation,,40.0,
218,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,968.9821953095397,MonopileInstallation,MonopileInstallation,,40.0,
219,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,973.9821953095397,MonopileInstallation,,,,
220,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,975.6488619762064,MonopileInstallation,MonopileInstallation,,40.0,
221,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,976.6488619762064,MonopileInstallation,MonopileInstallation,,40.0,
222,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,986.6488619762064,MonopileInstallation,,,,
223,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,987.5308192849284,MonopileInstallation,MonopileInstallation,,40.0,
224,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,987.5358192849284,MonopileInstallation,MonopileInstallation,,40.0,
225,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,988.5358192849284,MonopileInstallation,MonopileInstallation,,40.0,
226,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,989.7358192849284,MonopileInstallation,MonopileInstallation,,40.0,
227,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,999.7358192849284,MonopileInstallation,,,,
228,,Feeder 1,ActiveFeeder,119.59420525949929,373731.8914359353,ACTION,999.7358192849284,MonopileInstallation,,Site,,
229,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1000.7358192849284,MonopileInstallation,MonopileInstallation,,40.0,
230,,Feeder 1,Jackdown,1.6666666666666667,5208.333333333334,ACTION,1001.402485951595,MonopileInstallation,MonopileInstallation,,,
231,,Feeder 0,Transit,39.321634209940946,122880.10690606546,ACTION,1001.4632482353701,MonopileInstallation,,,,
232,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,1001.7358192849284,MonopileInstallation,MonopileInstallation,,40.0,
233,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,1003.1299149020367,MonopileInstallation,MonopileInstallation,,,
234,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,1005.7358192849284,MonopileInstallation,MonopileInstallation,,40.0,
235,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,1007.402485951595,MonopileInstallation,MonopileInstallation,,40.0,
236,,Feeder 1,Delay,23.0,71875.0,ACTION,1024.402485951595,MonopileInstallation,,,,
237,,Feeder 1,Transit,39.321634209940946,122880.10690606546,ACTION,1063.724120161536,MonopileInstallation,,,,
238,,Feeder 0,Queue,60.59420525949918,189356.89143593493,ACTION,1063.724120161536,MonopileInstallation,,Site,,
239,,WTIV,Delay: Not enough vessels for monopiles,56.32163420994084,1173367.3793737674,ACTION,1063.724120161536,MonopileInstallation,,Site,,
240,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,1068.724120161536,MonopileInstallation,,,,
241,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,1070.3907868282026,MonopileInstallation,MonopileInstallation,,40.0,
242,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,1071.3907868282026,MonopileInstallation,MonopileInstallation,,40.0,
243,,Feeder 1,Fasten Monopile,12.0,37500.0,ACTION,1075.724120161536,MonopileInstallation,MonopileInstallation,,,
244,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,1081.3907868282026,MonopileInstallation,,,,
245,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,1082.2727441369248,MonopileInstallation,MonopileInstallation,,40.0,
246,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,1082.2777441369249,MonopileInstallation,MonopileInstallation,,40.0,
247,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1083.2777441369249,MonopileInstallation,MonopileInstallation,,40.0,
248,,Feeder 1,Fasten Transition Piece,8.0,25000.0,ACTION,1083.724120161536,MonopileInstallation,MonopileInstallation,,,
249,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,1084.477744136925,MonopileInstallation,MonopileInstallation,,40.0,
250,,Feeder 1,Fasten Monopile,3.0,9375.0,ACTION,1086.724120161536,MonopileInstallation,MonopileInstallation,,,
251,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,1094.477744136925,MonopileInstallation,,,,
252,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,1095.477744136925,MonopileInstallation,MonopileInstallation,,40.0,
253,,Feeder 1,Delay,9.0,28125.0,ACTION,1095.724120161536,MonopileInstallation,MonopileInstallation,,,
254,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,1096.477744136925,MonopileInstallation,MonopileInstallation,,40.0,
255,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,1100.477744136925,MonopileInstallation,MonopileInstallation,,40.0,
256,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,1102.1444108035917,MonopileInstallation,MonopileInstallation,,40.0,
257,,Feeder 1,Fasten Monopile,9.0,28125.0,ACTION,1104.724120161536,MonopileInstallation,MonopileInstallation,,,
