,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
626,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,3410.2719756158076,MonopileInstallation,MonopileInstallation,,40.0,
627,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,3420.2719756158076,MonopileInstallation,,,,
628,,WTIV,Upend Monopile,0.8594532455150841,17905.275948230916,ACTION,3421.1314288613225,MonopileInstallation,MonopileInstallation,,40.0,
629,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,3421.1364288613227,MonopileInstallation,MonopileInstallation,,40.0,
630,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3422.1364288613227,MonopileInstallation,MonopileInstallation,,40.0,
631,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,3423.3364288613225,MonopileInstallation,MonopileInstallation,,40.0,
632,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,3433.3364288613225,MonopileInstallation,,,,
633,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3434.3364288613225,MonopileInstallation,MonopileInstallation,,40.0,
634,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,3435.3364288613225,MonopileInstallation,MonopileInstallation,,40.0,
635,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,3439.3364288613225,MonopileInstallation,MonopileInstallation,,40.0,
636,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,3441.003095527989,MonopileInstallation,MonopileInstallation,,40.0,
637,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,3446.003095527989,MonopileInstallation,,,,
638,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,3447.6697621946555,MonopileInstallation,MonopileInstallation,,40.0,
639,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,3448.6697621946555,MonopileInstallation,MonopileInstallation,,40.0,
640,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,3458.6697621946555,MonopileInstallation,,,,
641,,WTIV,Upend Monopile,0.8594532455150841,17905.275948230916,ACTION,3459.5292154401704,MonopileInstallation,MonopileInstallation,,40.0,
642,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,3459.5342154401706,MonopileInstallation,MonopileInstallation,,40.0,
643,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3460.5342154401706,MonopileInstallation,MonopileInstallation,,40.0,
644,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,3461.7342154401704,MonopileInstallation,MonopileInstallation,,40.0,
645,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,3471.7342154401704,MonopileInstallation,,,,
646,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3472.7342154401704,MonopileInstallation,MonopileInstallation,,40.0,
647,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,3473.7342154401704,MonopileInstallation,MonopileInstallation,,40.0,
648,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,3477.7342154401704,MonopileInstallation,MonopileInstallation,,40.0,
649,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,3479.400882106837,MonopileInstallation,MonopileInstallation,,40.0,
650,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,3484.400882106837,MonopileInstallation,,,,
651,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,3486.0675487735034,MonopileInstallation,MonopileInstallation,,40.0,
652,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,3487.0675487735034,MonopileInstallation,MonopileInstallation,,40.0,
653,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,3497.0675487735034,MonopileInstallation,,,,
654,,WTIV,Upend Monopile,0.8594532455150841,17905.275948230916,ACTION,3497.9270020190183,MonopileInstallation,MonopileInstallation,,40.0,
655,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,3497.9320020190185,MonopileInstallation,MonopileInstallation,,40.0,
656,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3498.9320020190185,MonopileInstallation,MonopileInstallation,,40.0,
657,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,3500.1320020190183,MonopileInstallation,MonopileInstallation,,40.0,
658,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,3510.1320020190183,MonopileInstallation,,,,
659,,Feeder 1,ActiveFeeder,107.52669306987718,336020.9158433662,ACTION,3510.1320020190183,MonopileInstallation,,Site,,
660,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3511.1320020190183,MonopileInstallation,MonopileInstallation,,40.0,
661,,Feeder 1,Jackdown,1.6666666666666667,5208.333333333334,ACTION,3511.798668685685,MonopileInstallation,MonopileInstallation,,,
662,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,3512.1320020190183,MonopileInstallation,MonopileInstallation,,40.0,
663,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,3516.1320020190183,MonopileInstallation,MonopileInstallation,,40.0,
664,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,3517.798668685685,MonopileInstallation,MonopileInstallation,,40.0,
665,,Feeder 1,Transit,39.339640768210714,122936.37740065849,ACTION,3551.1383094538955,MonopileInstallation,,,,
666,,WTIV,Transit,103.96905060169975,2166021.8875354114,ACTION,3621.7677192873844,MonopileInstallation,,,,
