,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
887,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,6878.936780661056,MooredSubInstallation,,,
888,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,6941.936780661056,MooredSubInstallation,,,
889,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,6950.936780661056,MooredSubInstallation,,,
890,,Towing Group 1,Delay: No Completed Turbine Assemblies,448.867893131091,3179480.9096785616,ACTION,6950.936780661056,MooredSubInstallation,,2.0,1.0
891,,Towing Group 1,Ballast to Towing Draft,6.0,42500.0,ACTION,6956.936780661056,MooredSubInstallation,,2.0,1.0
892,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,6958.936780661056,MooredSubInstallation,,,
893,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,6970.936780661056,MooredSubInstallation,,,
894,,Towing Group 1,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,6973.185472772067,MooredSubInstallation,,2.0,1.0
895,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,6974.936780661056,MooredSubInstallation,,,
896,,Towing Group 1,Position Substructure,2.0,14166.666666666668,ACTION,6975.185472772067,MooredSubInstallation,,2.0,1.0
897,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,6978.936780661056,MooredSubInstallation,,,
898,,Towing Group 1,Ballast to Operational Draft,6.0,42500.0,ACTION,6981.185472772067,MooredSubInstallation,,2.0,1.0
899,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,6990.936780661056,MooredSubInstallation,,,
900,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,6994.436780661056,MooredSubInstallation,,,
901,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,6997.936780661056,MooredSubInstallation,,,
902,,Towing Group 1,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7001.185472772067,MooredSubInstallation,,2.0,1.0
903,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7001.436780661056,MooredSubInstallation,,,
904,,Towing Group 1,Check Mooring Lines,6.0,42500.0,ACTION,7007.185472772067,MooredSubInstallation,,2.0,1.0
905,,Towing Group 1,Transit,6.383414757897432,45215.85453510682,ACTION,7013.568887529966,MooredSubInstallation,,2.0,1.0
906,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7025.436780661056,MooredSubInstallation,,,
907,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,7097.436780661056,MooredSubInstallation,,,
908,,Towing Group 2,Delay: No Completed Turbine Assemblies,391.867893131091,2775730.9096785616,ACTION,7097.436780661056,MooredSubInstallation,,2.0,1.0
909,,Towing Group 2,Ballast to Towing Draft,6.0,42500.0,ACTION,7103.436780661056,MooredSubInstallation,,2.0,1.0
910,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,7105.436780661056,MooredSubInstallation,,,
911,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7109.936780661056,MooredSubInstallation,,,
912,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,7117.436780661056,MooredSubInstallation,,,
913,,Towing Group 2,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,7119.685472772067,MooredSubInstallation,,2.0,1.0
914,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7121.436780661056,MooredSubInstallation,,,
915,,Towing Group 2,Position Substructure,2.0,14166.666666666668,ACTION,7121.685472772067,MooredSubInstallation,,2.0,1.0
916,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7125.436780661056,MooredSubInstallation,,,
917,,Towing Group 2,Ballast to Operational Draft,6.0,42500.0,ACTION,7127.685472772067,MooredSubInstallation,,2.0,1.0
918,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,7137.436780661056,MooredSubInstallation,,,
919,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7140.936780661056,MooredSubInstallation,,,
920,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7144.436780661056,MooredSubInstallation,,,
921,,Towing Group 2,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7147.685472772067,MooredSubInstallation,,2.0,1.0
