,base_0225,base_no_njwp_0325.yaml,base_no_njwp_paulsboro_0327.yaml
2025-2030,1.4913242009132421,2.1059360730593606,1.4913242009132421
2030-2035,7.004261796042619,7.554946727549467,6.788432267884323
2035-2040,18.026027397260272,28.476027397260275,10.84041095890411
