,base_0225,base_0225_inf,base_md_njwp_0328.yaml,base_md_njwp_0328_inf.yaml
2025-2030,1.0691253951527924,0.0,0.521390937829294,0.0
2030-2035,5.292636986301369,0.0,3.598287671232877,0.0
2035-2040,15.18751902587519,0.0,8.127853881278538,0.0
