,base_0225,base_0225_inf,base_no_njwp_0325.yaml,base_no_njwp_0325_inf.yaml
2025-2030,1.4913242009132421,0.0,2.1059360730593606,0.0
2030-2035,7.004261796042619,0.0,7.554946727549467,0.0
2035-2040,18.026027397260272,0.0,28.476027397260275,0.0
