,base_0225,base_0225_inf,base_no_njwp_0325.yaml,base_no_njwp_0325_inf.yaml
2025-2030,1.0691253951527924,0.0,1.309167544783983,0.0
2030-2035,5.292636986301369,0.0,7.0220890410958905,0.0
2035-2040,15.18751902587519,0.0,21.974733637747335,0.0
