,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
52,52,SouthCoast Residual,52608,67617.433774505,77255.52691223484,2029-01-01 00:00:00,2030-09-18 10:00:00,2031-10-25 00:00:00,jacket,40,MA,new_bedford,800,False,2030-01-01 00:00:00
53,53,Attentive Energy Two,61368,61368.0,73790.33332905725,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-06-02 15:00:00,monopile,40,NJ,njwp_1,1342,False,2031-01-01 00:00:00
54,54,Attentive Energy One,61368,61368.0,73539.47937372612,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-05-23 04:00:00,monopile,40,NY,arthur_kill,1404,False,2031-01-01 00:00:00
55,55,Community Offshore Wind 1,61368,61368.0,73260.26448166143,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-05-11 13:00:00,monopile,40,NY,sbmt,1314,False,2031-01-01 00:00:00
56,56,"New England Wind 1 (Park City Wind, Vineyard Wind South)",61368,61368.0,70736.93365932701,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-01-26 09:00:00,gbf,40,CT,salem,800,False,2029-01-01 00:00:00
57,57,SouthCoast 1 Phase 2 (Mayflower Wind 2),52608,63135.43751249117,67617.433774505,2029-01-01 00:00:00,2030-03-15 16:00:00,2030-09-18 10:00:00,jacket,40,MA,new_bedford,400,False,2030-01-01 00:00:00
58,58,SouthCoast 1 Phase 1 (Mayflower Wind 1),52608,52608.0,63135.43751249117,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-03-15 16:00:00,jacket,40,MA,new_bedford,804,False,2030-01-01 00:00:00
59,59,Kitty Hawk North,52608,52608.0,62149.22512772347,2029-01-01 00:00:00,2029-01-01 00:00:00,2030-02-02 14:00:00,monopile,40,VA,portsmouth_2,1035,False,2030-01-01 00:00:00
60,60,MarWin Residual,52608,52608.0,58722.544169179724,2029-01-01 00:00:00,2029-01-01 00:00:00,2029-09-12 19:00:00,monopile,40,MD,tradepoint_1,600,False,2030-01-01 00:00:00
61,61,Sunrise Wind,43824,43824.0,54796.39331155659,2028-01-01 00:00:00,2028-01-01 00:00:00,2029-04-02 05:00:00,monopile,40,NY,new_london_1,924,False,2029-01-01 00:00:00
62,62,CVOW-C,26304,26304.0,47067.042369761104,2026-01-01 00:00:00,2026-01-01 00:00:00,2028-05-15 04:00:00,monopile,40,VA,portsmouth_1,2587,False,2027-01-01 00:00:00
63,63,Maine Research Array,43824,43824.0,46239.692152350064,2028-01-01 00:00:00,2028-01-01 00:00:00,2028-04-10 16:00:00,semisub,800,ME,searsport_1,144,False,2029-01-01 00:00:00
64,64,Momentum Wind,35064,35064.0,42140.86179012092,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-10-22 21:00:00,monopile,40,MD,tradepoint_1,809,False,2028-01-01 00:00:00
65,65,Empire Wind 1,35064,35064.0,42016.803350477785,2027-01-01 00:00:00,2027-01-01 00:00:00,2027-10-17 17:00:00,monopile,40,NY,sbmt,816,False,2028-01-01 00:00:00
66,66,Atlantic Shores Offshore Wind South 1,26304,26304.0,38589.82558748406,2026-01-01 00:00:00,2026-01-01 00:00:00,2027-05-27 22:00:00,monopile,40,NJ,njwp_1,1510,False,2027-01-01 00:00:00
67,67,MarWin,26304,26304.0,30626.484060825103,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-06-30 03:00:00,monopile,40,MD,tradepoint_1,248,False,2027-01-01 00:00:00
68,68,Revolution Wind 1,8760,8760.0,15997.064565998087,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-10-28 14:00:00,monopile,40,RI/CT,new_london_1,704,False,2025-01-01 00:00:00
69,69,Vineyard Wind 1,0,0.0,8078.474759646382,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-12-03 15:00:00,monopile,40,MA,new_bedford,800,False,2024-01-01 00:00:00
70,70,South Fork,0,0.0,3785.9569112472955,2023-01-01 00:00:00,2023-01-01 00:00:00,2023-06-07 18:00:00,monopile,40,NY,new_london_1,132,False,2024-01-01 00:00:00
