,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,substructure,depth,location,associated_port,capacity,us_wtiv,estimated_cod
25,25,Bay State Wind a (Revolution Wind 2),105192,105192.0,117397.03136735348,2035-01-01 00:00:00,2035-01-01 00:00:00,2036-05-23 14:00:00,jacket,40,RI,new_london_1,880.0,False,2036-01-01 00:00:00
26,26,Atlantic Shores Offshore Wind South 2,96432,96432.0,108930.85657595146,2034-01-01 00:00:00,2034-01-01 00:00:00,2035-06-05 19:00:00,monopile,40,NJ,njwp_2,1500.0,False,2035-01-01 00:00:00
27,27,Leading Light Wind,87672,87672.0,108704.14213657298,2033-01-01 00:00:00,2033-01-01 00:00:00,2035-05-27 09:00:00,monopile,40,NJ,njwp_1,2400.0,False,2034-01-01 00:00:00
28,28,Beacon Wind 2,87672,93903.75149014292,107358.7065887776,2033-01-01 00:00:00,2033-09-17 16:00:00,2035-04-01 07:00:00,monopile,40,NY,sbmt,1200.0,False,2034-01-01 00:00:00
29,29,"New England Wind 1 (Park City Wind, Vineyard Wind South)",78888,91175.34199820414,100325.65708417344,2032-01-01 00:00:00,2033-05-27 00:00:00,2034-06-12 06:00:00,gbf,40,CT,new_bedford,800.0,False,2033-01-01 00:00:00
30,30,Duke Energy/Cinergy,87672,87672.0,99556.79463749996,2033-01-01 00:00:00,2033-01-01 00:00:00,2034-05-11 05:00:00,monopile,40,NC,portsmouth_1,893.0,False,2034-01-01 00:00:00
31,31,Beacon Wind 1,78888,82625.33192908704,93903.75149014292,2032-01-01 00:00:00,2032-06-04 18:00:00,2033-09-17 16:00:00,monopile,40,NY,sbmt,1230.0,False,2033-01-01 00:00:00
32,32,"New England Wind 2 (Commonwealth Wind, Vineyard Wind South)",70128,77255.52691223484,91175.34199820414,2031-01-01 00:00:00,2031-10-25 00:00:00,2033-05-27 00:00:00,gbf,40,MA,new_bedford,1232.0,False,2032-01-01 00:00:00
33,33,Skipjack 2,78888,78888.0,86690.8355363666,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-11-21 03:00:00,monopile,40,MD,tradepoint_2,846.0,False,2033-01-01 00:00:00
34,34,Community Offshore Wind 1,70128,73706.29018631432,82625.33192908704,2031-01-01 00:00:00,2031-05-30 03:00:00,2032-06-04 18:00:00,monopile,40,NY,sbmt,1314.0,False,2032-01-01 00:00:00
35,35,Skipjack 1,78888,78888.0,82532.78265193722,2032-01-01 00:00:00,2032-01-01 00:00:00,2032-05-31 21:00:00,monopile,40,MD,tradepoint_1,120.0,False,2033-01-01 00:00:00
36,36,Attentive Energy Two,70128,70128.0,82505.32004932725,2031-01-01 00:00:00,2031-01-01 00:00:00,2032-05-30 18:00:00,monopile,40,NJ,njwp_1,1342.0,False,2032-01-01 00:00:00
37,37,SouthCoast Residual,61368,67617.433774505,77255.52691223484,2030-01-01 00:00:00,2030-09-18 10:00:00,2031-10-25 00:00:00,jacket,40,MA,new_bedford,800.0,False,2031-01-01 00:00:00
38,38,Attentive Energy One,61368,61368.0,73706.29018631432,2030-01-01 00:00:00,2030-01-01 00:00:00,2031-05-30 03:00:00,monopile,40,NY,sbmt,1404.0,False,2031-01-01 00:00:00
