,base_0225,base_no_njwp_0325.yaml,base_no_njwp_paulsboro_0327.yaml
2025-2030,1.0691253951527924,1.6444678609062169,1.099473129610116
2030-2035,5.2926369863013685,13.341609589041095,5.048630136986302
2035-2040,15.187519025875186,19.603348554033484,7.365601217656011
