,base_0225,base_0225_inf,base_paulsboro_0325.yaml,base_paulsboro_0325_inf.yaml
2025-2030,1.0691253951527924,0.0,0.7943097997892519,0.0
2030-2035,5.292636986301369,0.0,3.2131849315068495,0.0
2035-2040,15.18751902587519,0.0,8.113546423135466,0.0
