,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp_1,port:tradepoint_1,port:portsmouth_1,port:salem,port:euro_fab,port:argentia,port:halifax
58,2027-09-05 03:14:02.817704,2,4,3,100,1,1,0,0,1,1,1,0,1,0,100,0,1
59,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
60,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
61,2027-09-05 03:14:02.817704,2,4,4,100,1,1,0,0,1,1,1,0,1,0,100,0,1
62,2027-10-27 02:26:31.166724,2,4,4,100,1,1,0,0,1,1,1,0,1,1,100,0,1
63,2027-11-26 13:08:49.335901,2,4,4,100,2,1,0,0,1,1,1,0,1,1,100,0,1
64,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,0,1
65,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,0,1
66,2027-11-26 13:08:49.335901,2,4,4,100,1,1,0,0,1,1,1,0,0,1,100,1,1
67,2027-12-04 03:14:02.817704,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
68,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
69,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
70,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
71,2028-01-01 00:00:00.000000,2,3,3,100,0,0,0,0,1,1,1,0,0,1,100,1,1
72,2028-02-24 13:08:49.335901,2,3,3,100,0,0,0,1,1,1,1,0,0,1,100,1,1
73,2028-05-03 00:56:14.802035,2,3,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
74,2028-05-03 00:56:14.802035,2,4,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
75,2028-05-03 00:56:14.802035,2,4,2,100,0,0,0,1,1,1,1,0,0,0,100,1,1
76,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
77,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
78,2028-05-03 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
79,2028-08-01 00:56:14.802035,2,4,3,100,0,0,0,1,1,1,1,1,0,0,100,1,1
80,2028-09-04 01:22:43.930050,2,4,3,100,1,0,0,1,1,1,1,1,0,0,100,1,1
81,2028-09-04 01:22:43.930050,2,4,3,100,1,0,1,1,1,1,1,1,0,0,100,1,1
82,2028-09-04 01:22:43.930050,2,4,3,100,1,0,1,1,1,1,1,1,0,0,100,1,1
83,2028-10-06 08:05:34.705830,2,4,3,100,2,0,1,1,1,1,1,1,0,0,100,1,1
84,2028-10-09 21:38:00.597613,2,3,2,100,1,0,1,1,1,1,1,0,0,0,100,1,1
85,2028-10-09 21:38:00.597613,2,3,3,100,1,0,1,1,1,1,1,0,0,0,100,1,1
86,2028-10-09 21:38:00.597613,2,3,3,100,1,0,1,1,1,1,1,0,0,0,100,1,1
87,2028-12-03 01:22:43.930050,2,3,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
88,2029-01-01 00:00:00.000000,2,3,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
89,2029-01-01 00:00:00.000000,2,3,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
90,2029-01-01 00:00:00.000000,2,3,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
91,2029-01-01 00:00:00.000000,2,3,3,100,0,0,0,1,1,1,1,0,0,0,100,1,1
92,2029-01-07 21:38:00.597613,2,3,3,100,0,0,0,1,1,1,1,0,0,1,100,1,1
93,2029-06-24 08:07:50.915724,2,3,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
94,2029-06-24 08:07:50.915724,2,4,3,100,1,0,0,1,1,1,1,0,0,1,100,1,1
95,2029-06-24 08:07:50.915724,2,4,2,100,0,0,0,1,1,0,1,0,0,1,99,1,1
96,2029-06-24 08:07:50.915724,2,4,3,100,0,0,0,1,1,0,1,0,0,1,99,1,1
97,2029-06-24 08:07:50.915724,2,4,3,100,0,0,0,1,1,0,1,0,0,1,99,1,1
98,2029-06-24 08:07:50.915724,2,4,3,100,0,0,0,1,1,0,1,0,0,1,99,1,1
99,2029-09-13 17:12:41.339201,2,4,3,100,1,0,0,1,1,0,1,0,0,1,99,1,1
100,2029-09-13 17:12:41.339201,2,4,2,100,0,0,0,1,0,0,1,0,0,1,99,1,0
101,2029-09-13 17:12:41.339201,2,4,3,100,0,0,0,1,0,0,1,0,0,1,99,1,0
102,2029-09-13 17:12:41.339201,2,4,3,100,0,0,0,1,0,0,1,0,0,1,99,1,0
103,2029-09-13 17:12:41.339201,2,4,3,100,0,0,0,1,0,0,1,0,0,1,100,1,0
104,2029-09-22 08:07:50.915724,2,4,3,100,0,0,0,1,0,0,1,1,0,1,100,1,0
105,2029-11-20 19:07:57.075821,2,4,3,100,1,0,0,1,0,0,1,1,0,1,100,1,0
106,2029-11-20 19:07:57.075821,2,4,3,100,0,0,0,1,0,0,0,1,0,1,100,1,0
107,2029-11-20 19:07:57.075821,2,4,3,100,0,0,0,1,0,0,0,1,0,1,100,1,0
108,2029-12-12 17:12:41.339201,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
109,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
110,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
111,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
112,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
113,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
114,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
115,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
116,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
117,2030-01-01 00:00:00.000000,2,4,3,100,0,0,0,1,0,1,0,1,0,1,100,1,0
118,2030-02-18 19:07:57.075821,2,4,3,100,0,0,0,1,0,1,0,1,1,1,100,1,0
119,2030-07-17 04:01:58.105969,2,4,3,100,1,0,0,1,0,1,0,1,1,1,100,1,0
120,2030-07-17 04:01:58.105969,2,3,2,100,0,0,0,1,0,1,0,0,1,1,100,1,0
121,2030-07-17 04:01:58.105969,2,3,3,100,0,0,0,1,0,1,0,0,1,1,100,1,0
122,2030-07-17 04:01:58.105969,2,3,3,100,0,0,0,1,0,1,0,0,1,1,100,1,0
123,2030-07-17 04:01:58.105969,2,3,3,100,0,0,0,1,0,1,0,0,1,1,100,1,1
