,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
60,2029-06-28 03:58:27.597994,2,2,3,10,0,0,1,1,1,0,1,1,0,1,1,1
61,2029-06-28 03:58:27.597994,2,3,3,10,0,0,1,1,1,0,1,1,0,1,1,1
62,2029-06-28 03:58:27.597994,2,3,3,10,0,1,1,1,1,0,1,1,0,1,1,1
63,2029-06-28 03:58:27.597994,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
64,2029-06-28 03:58:27.597994,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
65,2029-06-28 03:58:27.597994,2,3,4,10,0,1,1,1,1,0,1,1,0,1,1,1
66,2029-09-26 03:58:27.597994,2,3,4,10,0,1,1,1,1,1,1,1,0,1,1,1
67,2029-10-16 05:25:59.318075,2,3,4,10,0,1,0,0,1,1,1,1,0,1,1,1
68,2029-10-16 05:25:59.318075,2,4,4,10,0,1,0,0,1,1,1,1,0,1,1,1
69,2029-10-17 23:01:14.023706,2,4,4,10,0,2,0,0,1,1,1,1,0,1,1,1
70,2029-10-17 23:01:14.023706,2,4,5,10,0,2,0,0,1,1,1,1,0,1,1,1
71,2029-10-17 23:01:14.023706,2,4,5,10,0,2,0,0,1,1,1,1,0,1,1,1
72,2029-10-17 23:01:14.023706,2,4,5,10,0,2,0,0,1,1,1,1,0,1,1,1
73,2030-01-01 00:00:00.000000,1,4,5,9,0,2,0,0,1,1,1,1,0,1,0,1
74,2030-01-01 00:00:00.000000,1,4,5,9,0,2,0,0,1,1,1,1,0,1,0,1
75,2030-01-01 00:00:00.000000,1,4,5,9,0,2,0,0,1,1,1,1,0,1,0,1
76,2030-01-01 00:00:00.000000,1,4,5,9,0,2,0,0,1,1,1,1,0,1,0,1
77,2030-01-01 00:00:00.000000,1,4,5,9,0,2,0,0,1,1,1,1,0,1,0,1
78,2030-01-15 23:01:14.023706,1,4,5,9,0,2,0,0,1,1,1,1,1,1,0,1
79,2030-11-04 07:41:42.519475,1,4,4,9,0,1,0,0,1,1,1,1,1,0,0,1
80,2030-11-04 07:41:42.519475,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
81,2030-11-04 07:41:42.519475,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
82,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
83,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
84,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
85,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
86,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
87,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
88,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
89,2031-01-01 00:00:00.000000,1,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
90,2031-01-26 08:56:01.173577,2,4,4,9,0,1,1,0,1,1,1,1,1,0,0,1
91,2031-01-26 08:56:01.173577,2,4,4,10,0,1,1,0,1,1,1,1,1,0,0,1
