,base_0225,base_0225_inf,base_no_njwp_0325.yaml,base_no_njwp_0325_inf.yaml
2025-2030,1.4913242009132421,0.0,1.4913242009132421,0.0
2030-2035,7.004261796042618,0.0,18.311415525114157,0.0
2035-2040,18.026027397260272,0.0,26.72876712328767,0.0
