,base_0225,base_0225_inf,base_no_njwp_0325.yaml,base_no_njwp_0325_inf.yaml
2025-2030,1.0691253951527924,0.0,1.6444678609062169,0.0
2030-2035,5.2926369863013685,0.0,13.341609589041095,0.0
2035-2040,15.187519025875186,0.0,19.603348554033484,0.0
