,base_0225,base_0225_inf,base_paulsboro_0325.yaml,base_paulsboro_0325_inf.yaml
2025-2030,1.4913242009132421,0.0,1.0100456621004568,0.0
2030-2035,7.004261796042618,0.0,3.5412480974124807,0.0
2035-2040,18.026027397260272,0.0,10.566438356164385,0.0
