,base_0225,base_0225_inf,base_paulsboro_0325.yaml,base_paulsboro_0325_inf.yaml
2025-2030,1.0691253951527924,0.0,0.794309799789252,0.0
2030-2035,5.2926369863013685,0.0,3.2131849315068495,0.0
2035-2040,15.187519025875186,0.0,8.113546423135464,0.0
